Evento,Detalhes,Tempo
Caminho do mouse,"(527, 465)",7.309567451477051
Caminho do mouse,"(527, 464)",7.318398714065552
Caminho do mouse,"(527, 456)",7.332234621047974
Caminho do mouse,"(527, 452)",7.336677074432373
Caminho do mouse,"(527, 448)",7.344538450241089
Caminho do mouse,"(527, 444)",7.352875232696533
Caminho do mouse,"(527, 442)",7.359660387039185
Caminho do mouse,"(527, 440)",7.365617036819458
Caminho do mouse,"(526, 439)",7.372621297836304
Caminho do mouse,"(526, 438)",7.379900693893433
Caminho do mouse,"(526, 437)",7.387021064758301
Caminho do mouse,"(526, 436)",7.393878936767578
Caminho do mouse,"(525, 436)",7.400935173034668
Caminho do mouse,"(525, 435)",7.408084392547607
Caminho do mouse,"(524, 435)",7.423099517822266
Caminho do mouse,"(524, 434)",7.430067300796509
Caminho do mouse,"(523, 434)",7.436532735824585
Caminho do mouse,"(522, 433)",7.4434051513671875
Caminho do mouse,"(522, 432)",7.452521800994873
Caminho do mouse,"(522, 431)",7.457875967025757
Caminho do mouse,"(522, 430)",7.474213600158691
Caminho do mouse,"(521, 430)",7.480886697769165
Caminho do mouse,"(520, 430)",7.523041486740112
Caminho do mouse,"(519, 430)",7.5796217918396
Caminho do mouse,"(519, 429)",7.666683912277222
Caminho do mouse,"(519, 428)",7.672338962554932
Caminho do mouse,"(519, 427)",7.681071758270264
Caminho do mouse,"(519, 426)",7.694833993911743
Caminho do mouse,"(519, 425)",7.708906412124634
Caminho do mouse,"(519, 424)",7.722503185272217
Caminho do mouse,"(519, 423)",7.7517077922821045
Caminho do mouse,"(519, 422)",7.759070158004761
Caminho do mouse,"(519, 421)",7.779722690582275
Caminho do mouse,"(519, 420)",7.795841693878174
Caminho do mouse,"(519, 419)",7.816484212875366
Caminho do mouse,"(519, 418)",7.860814094543457
Caminho do mouse,"(519, 417)",7.88323450088501
Caminho do mouse,"(519, 419)",8.15257740020752
Caminho do mouse,"(519, 423)",8.15971040725708
Caminho do mouse,"(519, 428)",8.168648481369019
Caminho do mouse,"(518, 433)",8.173924922943115
Caminho do mouse,"(518, 438)",8.182214736938477
Caminho do mouse,"(517, 441)",8.189566135406494
Caminho do mouse,"(517, 444)",8.197063684463501
